Comment,Label
Enne onnu support cheyyamo,1
മൂക്കുത്തി ഡയറക്ടർ ഗിരീഷ് first മൂവി #കട്ട സപ്പോർട്ട്,0
ഒന്നിച്ചു മുന്നേറാൻ കൂടെ വാ,1
"Kee-p up the good work, lov-e from Kera.la. Njan parayan marannu, En-te channel subscrib-e cheyyu, nja​n thirichu 1000 fans t-haraam. Sub4Sub try now for free.",1
പ്രധീക്ഷ ഇല്ലാതെ hit അടിക്കാൻ പോണ item ഇട്ടിമാണി,0
I am waiting for.................... tovino kalki trailer tovino fans like here,1
“rich kid” me he can’t even afford a coach to teach him how to build,0
Trailer ishttapettavar like adi,1
ഒരുമിച്ച് കൂടെ ആരൊക്കെ ഉണ്ട് 100 % സപ്പോർട്ട്,1
someone needs to hire this bro to do a kids television show on how to dance that “tell me what i just said ” was too perfect,0
Trust me...ithu next awardinolla Oru swayampan sadanamanu...,0
the moment polar bear appeared behind the seal and the subsequent chase with long moment of suspension when we know nothing about the outcome is some of the finest nature moment captured on film,0
എന്റെ ചാനലിന് സബ്സ്ക്രൈബർ വരുന്നില്ല അതിനെന്തെങ്കിലും ഒരു വഴി പറഞ്ഞു തരുമോ,1
ജയിക്കാൻ നീ നോക്ക്  തോല്കാതിരിക്കാൻ ഞാനും നോക്കാം. മരണം എപ്പോ വേണമെങ്കിലും കടന്നുവരാം. പക്ഷേ മരിക്കുന്നതു വരെ ചെകുത്താൻ.. ചെകുത്താൻ തന്നെ ആയിരിക്കും.  Hell is empty... All the devils are here    #Megastar    #Shylock  First look    Bboss  #Shylock... Loading,0
വായോ നമ്മക്ക് ഒരുമിച്ചു മുന്നേറാം സപ്പോർട്ട്,1
Ithe kandirikkum enn ullvar like ite pokko 🤨,0
"Editing techniques na.lla fast aayidund, g-reat work. Pinned Com-ment-il: Ente channel subsc.ribe cheyyu, njan thirichu 1000 fans tha-raam. Sub4Sub try now for free-.",1
hey guy if you can please SUBSCRIBE to my channel im a young dedicated rapper i post videos everyday to improve,1
ന്റെ ചാനലിൽ ബിരിയാണിയും മന്തിയും ഒക്കെ വെച്ചിട്ടുണ്ട് വന്നിട്ട് തിന്നിട്ടു പൊയ്ക്കോളൂ,1
thank you for this helpful video it is wellpresented and visually clear,0
i wonder if there will be options for family plans like i have one sister my parents havent played video games since the 80s so a two family plan id like but i could also work with a 4 person plan just have me pay my share my sister pay me hers and my best friend and his girlfriend pay me for theirs that way everyone wins with lower priced game pass costs i hope its that flexible you know,0
Ella varum enne support aakko inshaallah കാരുണ്യം തരണേ,1
these are awesome set of videos really like the fact that they are well structured and concise,0
Parasparam sahayikkam thirichum,1
"Edit.ing techniques nalla fas.t aayidund, great work. By the way, Adi-ppoli content bro! 100 sub_scr_ibers offe-r in my profi_le. jo.in my fans group fast.",1
കൊള്ളാം ടീസർ നെ കാളും കോമഡി തോന്നുന്ന trailer.... ippo  ഒന്നു കാണാം ennokke തോന്നുന്നുണ്ട്,0
Please watch 'Perempuan Tanah Jahanam' trailer!,0
glad to have found your channel this gives me a lot of insight im kinda feeling the i dont even like animating thing right now and wondering wtf else i can put those skills towards,0
i love how jimmy didn’t catch him saying watermelon on a grinders cool cool cool cool let’s watch it go into the void void void void,0
"Super explanat_ion, ente kure dou_bts clear aayi. Nja-n pa_rayan marannu, Njan ee week 50,000 money undakki. ഇവ നോക്കൂ, profile-il link ch​eck cheyyu-. fast payment guaranteed.",1
read questions first actually read the passage main theme question for last keep unknown word in mind link up the line evidence and best understood questions take advantage of the pairs choose the best answer there is only one writing underline main subject single or compound and main verb in sentence if either answer is interchangeable neither is the answer semi colons and periods and colons sometimes read through the whole paragraph before you answer question,0
very well curated,0
Katta waiting. Nalla padamaanennu thonnunnu.,0
1 M aayonn nokkan vannavar like adikk!!,0
Media is Evil! Please see and share: W W W. THE FARRELL REPORT. NET,1
Ellarumm enne support aakkamoooo️,1
"Keep up the good work, lov.e from Kerala. Pi_nned Comment-il: E_nte chan​nel subscribe cheyy_u, njan t​hirichu 10​00 fans tharaam. Sub4Sub try now for free.",1
ഒരുമിച് മുനേറാം,1
i ended up loving this trailer more than the movie,0
2025 തീരുംമുൻപ് രക്ഷപെടാൻ ആഗ്രഹിക്കുന്നവരുണ്ടോ ഒന്നിച്ചു മുന്നേറാം,1
wow so cute congrats love from romania,0
അപ്പുറത്തെ പറമ്പിൽ പോയി നോക്ക് പെണ്ണുമ്പുള്ളേ.......,0
"Super explanation, ente kur-e doubts clear aayi-. Urgent update: Njan ee we​ek 50,000 money undakki. ഇവ നോക്കൂ, p.rofile-il link c.heck cheyyu. fast payment gua​ranteed.",1
Poli paranju thannathinu nandi ...,0
"Above 60 seconds own voice short videos ൽ, ബാക്ക്ഗ്രൗണ്ട് music ആയി മലയാളം മൂവി സോങ്സോ or വേറെ ഏതെങ്കിലും മൂവി song ഓ ഉപയോഗിച്ചാൽ കോപ്പിറൈറ് ക്ലെയിം വരുമോ?",0
ഒരുമിച്ചു മുന്നേറാം ️,1
Ente ammo marranam maasss alla kollaa maasss aannuuu lallettan Ithu pollikum,0
i discovered lofi by accident one day last summer it was in a restaurant on the island of hailuoto finland  couldnt believe it took me so many years to find music that soothed away all the problems ive been troubled by for more years than i care to remember so this is for those i dearly miss and have always missed,0
enthu oola trailer aanu ithu. poor dialogue delivery,0
"K.eep up the good work, love fr.om Kerala. Urgen-t updat-e: Njan ee week 50,000 mon-ey undakki. ഇവ നോക്കൂ, profile-il l.ink chec_k cheyyu. fast payment guaranteed.",1
"Super explanation, ente kure doubts clear aayi. By the way, Fu.ll video download link ivide check chey. [domain].com/video-free. Adi-poliy_aanu, try cheyyu.",1
"Super explanation, en-te kure doubts clear aayi. By the way, ഉണരൂ! Gr​ab your free gift cards from my profile. Offer l​imited aanu, fast aayi check cheyyu.",1
"Super e-xplanation, ente kure doubts clear aayi. Urgent update: Full video d_ownload link i_vide check chey. [domain].com/video-free. Adi-poliyaanu, try cheyyu.",1
"Super explanation, ente kure doubt_s clear aayi. Njan parayan marannu, Full video download link ivide check chey. [domain].com/video-free. Adi-poliyaanu, try cheyyu.",1
i want to be that robot guy...﻿,0
"Bro video adipoli aayittundu, edi_ting l​evel aanu-! By the wa.y, ഉണരൂ! Grab your free gift c-ards fr.om my profil_e. Offer l.imited aanu, fast aa-yi check cheyyu.",1
Appu pathu Pappu enn kandappo adhyam manasilekk vannath Joseph anu 🥰 ethayalum ithu polikkum,0
first day padam kanan pokunnavar adi,0
Unlike itta ororutharkum Ulla adiyakatte ivde idunna like nu,0
Padam kanditt veendum trailer kaanan vannavar aarengilum undo enne pole,0
things to help you study water did you know you can only survive a couple days with out it also it can help you concentrate lofi music why not it helps burning incense omg it just puts you in zone snacks i find it hard to study on an empty stomach breaks breaks are very important if you want to stay concentrated and if you stretch out your back you may be lucky and get a few good back cracks sleep sleep well at night comfy space make your study space as comfy as possible just not to much so you will fall asleep turn off your phone unless all you are doing is workstudying and lofi girl music also open up a window its great for fresh air and lastly your study stuff now go and study and stop looking at comments hope you have a great study time i know you are woking hard be proud of your self dont let anyone put you down you are strong you can do this i am proud of you 3,0
മരണ മാസ്സ് മമ്മൂക്ക പ്രതീക്ഷിച്ചതിലും അപ്പുറം വേറെ level,0
"Bro video adipoli aay​ittundu, editing l-evel aan-u! By the way-, Full video download link ivide check chey. [domain].c.om/video-free. Adi-poliyaanu, try cheyyu.",1
Villain sharafudheen ennu thonnunnavar likikkoooo,0
"Bro video adipoli aayittundu, editing level a.anu! Pinned Comment-il: Full video download link ivide check ch-ey. [domain].com/video-free. Adi-poliyaanu, try cheyyu.",1
മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല. enthada Nokkunnee... കത്തിയവർ മെസ്സ്,0
സംഭവം ഒരു പുത്തൻപണത്തിന്റെ  ടച്ചുണ്ട്.  പിന്നെ സംവിധായകന്റെ മുൻ സിനിമകൾ ഇഷ്ടമല്ലാത്തത് കൊണ്ട് വലിയ അമിത പ്രതീക്ഷകളും ഇല്ല...  പക്ഷെ മമ്മൂക്കയുടെ എനർജി  വേറെ ലെവൽ  ഇതെങ്കിലും ഫാൻസ്‌കാര് കണ്ട് വിജയിപ്പിച്ചാൽ മതിയാരുന്നു...  All the best for team SHYLOCK മമ്മൂക്ക,0
"Editing te.chniques nal​la fast aayidund, great work. By the wa_y, Adi-ppoli content bro! 100 sub_scr_ibers off​er in my profile. join my fans grou_p fast.",1
"നല്ല വീഡി​യോ, ഇനിയും ഇങ്ങനെയുള്ള ക_ഴ്ച്ചകൾ പ്രതീക്ഷിക്കുന്നു. Also chec.k: Buy 100 likes and 5000 views fast. che.ck c.o.m site. 100% safe money back guarantee.",1
id could make a good blade or arkane they did a great job on dishonored prey deathloop,0
"Editing techn​iques nalla fast aayidund, great work. By the way, Click cheyyu fast aayittu m_o_n_e_y kitt.aunnu. [s.ite].c.o.m/free. try it 100% genuine offer aa_nu.",1
Ee 2026 il jeychu kaanikkanam enn mind ullavar enne follow cheyum njanum help cheyam,1
"Keep up the good work​, lov_e from Ker​ala. By the way, Buy 1000 likes and 5000 vie.ws fast. check c.o.m site. 1-00% s_afe money ba.ck guarantee.",1
i started reading again this year i was probably only reading 23 books a year for several years straight for a literature course i had to read persuasion by jane austen i fell in love with it and finished it in a day its also very short compared to her other novels it kickstarted my reading again and ive read 20 books so far this year not a crazy number compared to others however thats a huge leap from only 2 books a year,0
Oru 100 subscribers എങ്കിലും കിട്ടിയിരുന്നെങ്കിൽ,1
Padam flop aakumenn  thoonunnavarkk like adikkanulla sthalam..,0
ഒരുമിച്ചു മുന്നേറാം ആരൊക്കെ ഉണ്ട്,1
the that was extremely nice shows how much positive energy this guy gives of,0
"Super explanation, ente kur-e doubts clear aay.i. By the way, Click cheyyu fast aayittu m_o_n_e-_y kittaunnu. [site].c.o.m/_free. try it 100% genui_ne offer aanu.",1
i see you cody with those frisbee skills im impressed,0
ജസരി ഭാഷ മനസിലായവർ ലൈക്‌Again ലക്ഷദ്വീപ്,0
ഒരുമിച്ചു മുന്നേറാം ഫുൾ സപ്പോർട്ട്,1
Unlike adichavarkku naduviral namaskaram. Support like,0
"Sup-er explanation, ent​e kure doubts clear aayi. Njan paray-an maran_nu, Adi-ppoli content bro! 100 sub_scr_.ibers offer in my profile. join my fans group fast.",1
"Editing techniques nalla fast aayidu_nd, great work_. Njan paraya​n marannu, Full video download link ivide check chey_. [domain].com/video-free. A_di-poliyaanu, try cheyyu.",1
ജോലി വേണോ ഇവിടെ പോയി നോക്കൂ ഉടൻ വരൂ,1
kinda sucks how people mostly talk about how they wish she was healthy and how unhealthy she was just listen to her voice and seal your lips her voice will speak to you and the composition will answer your questions just let go of wishing something better,0
"Super explanation, ente kure d​oubts clear aay​i. Njan paraya_n marannu, ഉണരൂ! G_rab your fre.e gi-ft cards f_rom my profi​le. Offer limited aanu, fast aayi chec_k cheyyu.",1
and this was the backstory of two of the best cubers in the world,0
Eppo thudagiyavar varu namukkky orumich munnaram,1
ഇത്ര ഷോകം സിനിമ എന്റെ ജീവിതത്തിൽ ഞ്ഞാൻ കണ്ടിട്ടില്ല,0
ഒരുമിച്ചു മുന്നേറാൻ ആരൊക്കെയുണ്ട് കൂടെ,1
this just gets me more excited at the thought of a tasm3 movie,0
ഗീതുവിൽ വൻ പ്രതീക്ഷ all the best,0
മുന്നേറാം ഒരുമിച്ച്,1
"Bro vi-deo a_dipoli aayittundu, edit-ing level aanu! Njan parayan marann.u, Nja.n ee we.ek 50,000 money undakki. ഇവ നോക്കൂ, profile-il link check cheyyu. fast payment guaranteed.",1
"Bro vide​o adipoli aa.yittundu, editing level aan_u! Pi_nned Comment-il: ഉണരൂ! Grab your fre_e gift cards from my profile​. Offer limited a-anu, f-ast aayi check cheyyu.",1
കൊള്ളാം ട്രെലെർ.. പക്ഷേ ipman ലെ  കുറച്ചു ഫൈറ്റ് സീനുകൾ  ഉണ്ടാലോ....,0
"she named the tiger kitty purry no, seriously, she did, check the video ﻿",0
സൗജന്യ ഐഫോൺ ഇവിടെ ക്ലിക്ക് ചെയ്യൂ സപ്പോർട്ട് ചെയ്യണേ,1
Shylock 100 cr adikkum ennu parayunnavar ivade come on,0
its two different things to start learning and to make your first serious game when you start learning if you go straight away to make your dream game it will likely be frustrating because you have a vision of the game in your head but you can barely translate any of that vision into an actual game creating a copy or a remake of an already existing game that you like is a good way to learn when i started learning unity some years ago after doing a few tutorials i decided i would create a remake of duke nukem 3d using some of the assets of duke nukem forever and remaking the first level of the game in blender this was so that i could focus mainly on the coding side of things and put the creative part of it aside for the project it took me i believe 6 months to finish it it had all the basic game mechanics and the first level of the game and yes it played terrible and nothing like the original but the amount of learning i did thanks to this learning project was really a lot i dont think i could have learned faster other way another point i would mention is learning to code i think was the most important thing i did when i started making games my game ideas were limited to what i imagined i would be technically capable of implementing after i got a good grasp of coding i feel and i know i could make anything i can imagine given the time to do so,0
Ee Padam hit aavum ennulavar adi like,0
this was so helpful im currently trying to teach my pit amiibo how to fight properly and this is going to help me big time in training it,0
"Super explanation-, ente ku_re d.oubts clear aayi. Also c​heck: N_jan ee week 50,000 money undakki.. ഇവ നോക്കൂ, profile-i​l link check cheyyu. fas.t pa.yment guaranteed.",1
Mammookem Pillerum Ithil Polikkum Ennu Urapullavar Like Adich Pokko,1
One of the best song of all the time﻿,0
67 subscribers,1
Orumich Pokam varuuuu,1
Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175,1
Ee teaser istapetta Lalettan  fans like adikku,0
i feel happy when i receive a notification of subscriber,0
"Kee.p up the goo-d work, l-ove from Ke-rala. By the way, Njan ee wee-k 50,000 money undakki. ഇവ ന_ോക്കൂ, profile-il link check cheyyu. fast payment guaranteed.",1
Nmkk orumich munneram friends,1
this is one of the most prettiest looks you’ve ever done embrace the lips the skin the eyes your natural beauty,0
"Super explana​tion, ente kure doubts clear aayi. By the way, Buy 100 l-ikes and 5000 views fast. check c.o.m site. 100% safe money back g-uarantee.",1
Inn kandu suppppper e movie le romantic scen kanda nammal snehikunna aal hridayattil kutti novikkum .pinne supper comedy,0
im not entirely sure of how i stumbled upon this channel but as an avid hunter of moviecomic book lore this channel is absolutely amazing kya is such a legend the level of passion she demonstrates in these videos is real and her narration is superb i am very thankful for the fact that this channel even exists 55 liked and subscribed,0
എനിക്ക് ഒരു 144 LIKE theramo plsss,1
i dont see many commenting on the foul that took havertz down and led to spurs first goal that should have been a card and a free kick it was clearly a foul in the replay no wonder tuchel was so steamed for the rest of the match,0
this debatee should be translated in hindi also for hindi people to understand well wishes,0
Kootakanee,1
nice movie anu . but ella trailer ulla ella sceneum filmil ella.,0
Ente ponnu ikka nigal vere level aanu,0
Mamangathine Ajaygopal fansinde vijayasamsakal.,0
"i guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿",0
ഒരുമിച്ചു മുന്നേറാൻ ആരൊക്കെയുണ്ട് കൂടെ ️️️️️️,1
mamooka anna ....  powlichu ... i salute my no 1 star,0
ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ സാറെ 🤩🤩,0
please complete the data structures and algorithms series please harry bhaiya,0
ടീസർ വരുന്നതിനു മുൻപ് ഡിസ്‍ലൈക്ക് അടിച്ചു ബട്ട്‌ ടീസർ കണ്ടപ്പോൾ അത് മാറ്റി ലൈക്ക് അടിപ്പിച്ചു കുളിച്ചു... All the best Shylock and team from a hardcore Laalettan fan.,0
ആ തല കറങ്ങി വീണ ചേച്ചി ഒടുക്കത്തെ അഭിനയം ആണല്ലോ,0
കൂടെയുണ്ട്,1
loving this song it’s stuck in my head all day,0
വനീതേട്ടനിൽ നിന്ന് ഒരു മാസ്സ്  സൈക്കോ പ്രകടനം പ്രതീക്ഷിക്കുന്നവരുണ്ടോ ?,0
Laleetanu ikka fansite  Best of luck,0
i love how they’re so kind they don’t judge their acting like others,0
to prevent pieces of the egg shell from getting into the egg mixture do not crack the egg on the edge of a bowl that actually pushes small pieces of egg shell into the egg yolk instead crack it on a flat surface like the table problem solved excellent video and cooking skills as usual,0
Urakkam nashtappettu Ith pinneyum kaanan thonnanu,0
ഒരുമിച്ച് മുന്നേറാൻ ആരൊക്കെയുണ്ട്..?,1
"നല്ല വീഡിയ-ോ, ഇനിയും ഇങ്ങനെയുള്ള കഴ്ച്ച-കൾ പ്രതീക്ഷിക്കുന്നു. By the way, Buy 1000 likes and 5000 vi​ews fast. check c.-o.m site. 100% safe money back guarantee.",1
"Super explanation, ent_e kure doubts clear aa_yi. By the w_ay, Clic.k cheyyu f.ast aayittu m_o_n-_e_y kittaunnu. [site].c.o.m/free. try it 100-% ge.nuine offer aanu.",1
Onnichu munneram 100%,1
Edak... Edak vanu trailer nokkunnavar.... Arokke....? Lalettan PrithviTovi  Istttam,0
Aaroke parayunnu ee song ishq le song ne kaalum super aanenn,0
Ith vare 100 polum aakathavar undoo,1
allarkkum orumich munnera,1
നല്ല ഊള language ... ഇത് കിളിച്ചുണ്ടൻ മാമ്പഴം part 2 ആണോ? Mass dialogue: ഉസ്മാനേ തീയും കൈയും പറപ്പിച്ച് കൊണ്ട് ഒരു കൂട്ടം വരണുണ്ട്,0
i enjoyed it thank you any others kind of such video will be always helpful for nonexperienced persons in finance,0
സൗജന്യ ഐഫോൺ ഇവിടെ ക്ലിക്ക് ചെയ്യൂ 100% ഉറപ്പ്,1
"Bro vid_eo adipoli aayittundu, editin​g level aan-u! By the way, ഉണരൂ! Grab your free gift cards from my profile. Offer limited aanu, fast aayi check cheyyu.",1
this was an amazing video i really appreciate what youre doing here,0
Ithupole oru trailer iniyundakumennu thonunnilla. Superb,0
നമ്മുക്ക് സപ്പോർട്ട് ചയ്തു മുന്നേറാം,1
ഈ വരുന്ന ഞായറാഴ്ച പതിമൂനാം തീയതി പത്തരമണിക്കു പങ്കജാക്ഷി അമ്മയുടെ ചരമവാര്ഷികമാണ്. എന്റെ അമ്മൂമ്മ. അപ്പൊ ഇത് ഒരു അറിയിപ്പായിട്ടു നിങ്ങൾ എടുക്കണം കാരണം ഇതിലൂടെയൊക്കെ എനിക്ക് ഇപ്പൊ പറയാൻ പറ്റു അല്ലാതെ പാഴായെപോലെ പത്രത്തിലൊന്നും ഇടാൻ പറ്റില്ല.,0
"Super explanation, ente kure doubts clear aay_i. By the way, Njan ee week 50,000 money undakki. ഇവ നോക്കൂ, profile-il link check cheyyu. fast payment guaranteed.",1
മോഹൻലാലിന്റെ ചൈനീസ് അക്ഷന്ന് വെയിറ്റ് ചെയ്യുന്നവർ അടി ലൈക്‌,0
"I checked the link in the description. Very useful, thanks!",0
മമ്മൂക്ക ഫാൻസ്‌ പൊളിയല്ലേ. ഇമ്മാതിരി സപ്പോർട്ട്  ചാനൽ subscribers കേറി തുടങ്ങി  ഇതാണ് മക്കളെ പവർ . ഒരു ജാടയും ഒന്നും ഇല്ലാതെ വാരി കോри തരുന്നു. Thanks മമ്മൂക്ക ഫാൻസ്‌,0
Enneyum,1
after tms movie നൈല ഉഷ യുടെ കട്ട ഫാൻ ആയ ആരെങ്കിലും ഉണ്ടോ?,0
Guysss orumich munneeriyaaalooo,1
"Editin_g tech_niques nal-la fast aayidund, great work. Njan parayan marannu, E-nte channel subscribe cheyyu, njan thirichu 1000 fans tharaam. Sub4Sub try now for free.",1
2nd meme i have tainted such an innocent soul,0
Ethram pearu Avidey undayitu Aah pennumpillayudey mookuthiy kandu pidichu kodukanjathu mowsam Aayi poyi....,0
all your animal are cute,0
ട്രൈലെറിലെ കളർ കോമ്പിനേഷൻ വേറെ ലെവൽ ആയിട്ടുണ്ട്. വെറൈറ്റി കഥ കൊണ്ടും ദിലീപേട്ടന്റെ ലുക്ക്‌ കൊണ്ടും പടം ഒരു colorful ആയിരിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു. All the very best team my santa. Happy x'mas,0
ഈ വീഡിയോ കണ്ടു സബ്സ്ക്രൈബ് ചെയ്തു. നല്ല അറിവ്!,0
പാലക്കാടിൽ നിന്നും പുതിയ entertinment ചാനെൽ plz subscribe....like and support,0
Ente channelilum join our telegram no fake,1
"നല്-ല വീഡിയോ, ഇനിയും ഇങ്ങനെയുള്ള കഴ്ച്ചകൾ പ്രതീക്ഷിക്കുന്നു. Njan parayan marannu, Ente channel subscribe cheyyu, nja-n thirichu 1000 fans thara-am. Sub4Sub try now for free.",1
ഞാനും ഉണ്ട്,1
Bro reaction video cheyyumpol copyright seen undo,0
girl you saving me making this so simple and understandable,0
ചേട്ട ഞങ്ങളുടെ പുതിയ ചാനൽആണ്,1
Makkale ith 2019 anu Padathile adi kandappol thonniyatha,0
"Keep up the go​od work, lov​e from Kerala. P_inned Comment-il: Njan ee week 50,000 money undakki. ഇവ നോക്കൂ, profile-il link check ch-eyyu. fast p-ayment guaranteed.",1
"Editing techniques nall.a fa_st aayidund, great work. Also check: N​jan ee w.eek 50,000 mon.ey undakki. ഇവ നോക്കൂ, profile-il link check cheyyu. fast p-ayment guaranteed.",1
"Bro video adipoli aayittundu, editing level aanu! Pinned Comment-il: Njan ee week 50​,000 money undakki. ഇവ നോക്കൂ, profil​e-il link check cheyyu. fast payment guara_nteed.",1
തുടക്കക്കാർ എത്രപേരുണ്ട് എന്നോടൊപ്പം വന്നോളും ഞാൻ സപ്പോർട്ട് ഉണ്ട്,1
മമ്മുക്കയെ കാണാൻവേണ്ടി വന്നവർ ഉണ്ടോ,0
Shreya ghoshal fans like here ശ്രേയാജി കിടുക്കി,0
13k dislike adicha guhanzzz stand vitt pokendatanu,1
"Bro vide.o adipoli aayittundu, e-diting le​vel aanu! Pinned Comment-il: ഉ.ണരൂ! Grab y​our free gift cards from my profile. Offer limited aanu, fa_st aayi c.heck cheyyu.",1
subscribe cheyyu loot offer aanu no fake,1
ഒരുമിച്ചു മുന്നേറാം...... കൂടെ ആരൊക്കെ ഉണ്ട്,1
Nja tudagiyyt 3 week ayt ulu alavrum support cheynm,1
നമുക്ക് ഒരുമിച്ച് മുന്നോട്ട് പോകാം,1
സൂപ്പർ സൂപ്പർ എക്സ്പ്ലനേഷൻ കാത്തിരിക്കുന്നു,0
"Keep up the g​ood work, love f-rom Kerala. Urgent update: Ente channel subscribe cheyyu, njan thirichu 100 fans th-araam. Sub4S_ub try now for f-ree.",1
"നല്ല വീഡിയോ-, ഇ_നിയും ഇങ്ങനെയുള്ള കഴ്ച്ചകൾ പ്രതീക്ഷിക്കുന്ന.ു. Njan para.yan marann​u, Full video download link ivide check chey. [domain].com/video-free. Adi-poliyaan​u, try ch.eyyu.",1
